"N","N_numeric","Population","TPs","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","Adjusted_Replications_Needed"
"N = 500","500",".200",-1.385,500,143,28.6,2,0.4,0,0,145,29,889
"N = 500","500",".300",-0.85,500,142,28.4,1,0.2,1,0.2,144,28.8,886
"N = 500","500",".400",-0.41,500,123,24.6,2,0.4,1,0.2,125,25,837
"N = 500","500",".600",0.41,500,132,26.4,4,0.8,0,0,134,26.8,859
"N = 500","500",".700",0.85,500,126,25.2,2,0.4,0,0,128,25.6,844
"N = 500","500",".800",1.385,500,95,19,1,0.2,1,0.2,96,19.2,772
"N = 1000","1000",".200",-1.385,500,130,26,0,0,3,0.6,133,26.6,857
"N = 1000","1000",".300",-0.85,500,135,27,0,0,5,1,138,27.6,870
"N = 1000","1000",".400",-0.41,500,121,24.2,0,0,2,0.4,122,24.4,829
"N = 1000","1000",".600",0.41,500,122,24.4,0,0,2,0.4,123,24.6,832
"N = 1000","1000",".700",0.85,500,111,22.2,0,0,2,0.4,111,22.2,804
"N = 1000","1000",".800",1.385,500,86,17.2,0,0,6,1.2,91,18.2,762
"N = 2000","2000",".200",-1.385,500,142,28.4,0,0,1,0.2,143,28.6,883
"N = 2000","2000",".300",-0.85,500,152,30.4,0,0,0,0,152,30.4,909
"N = 2000","2000",".400",-0.41,500,138,27.6,0,0,5,1,142,28.4,881
"N = 2000","2000",".600",0.41,500,124,24.8,0,0,4,0.8,127,25.4,842
"N = 2000","2000",".700",0.85,500,106,21.2,0,0,0,0,106,21.2,793
"N = 2000","2000",".800",1.385,500,101,20.2,0,0,0,0,101,20.2,782
"N = 4000","4000",".200",-1.385,500,156,31.2,0,0,3,0.6,156,31.2,921
"N = 4000","4000",".300",-0.85,500,134,26.8,0,0,3,0.6,137,27.4,867
"N = 4000","4000",".400",-0.41,500,132,26.4,0,0,1,0.2,133,26.6,857
"N = 4000","4000",".600",0.41,500,121,24.2,0,0,3,0.6,123,24.6,832
"N = 4000","4000",".700",0.85,500,118,23.6,0,0,1,0.2,118,23.6,820
"N = 4000","4000",".800",1.385,500,98,19.6,0,0,2,0.4,100,20,780
